sub	all_nGo	all_nNoGo	all_nAcc	all_pAcc	all_nGo_Hit	all_nGo_Miss	all_nNoGo_Corr	all_nNoGo_FA	all_pGo_Hit	all_pGo_Miss	all_pNoGo_Corr	all_pNoGo_FA	all_RTmeanGo_Hit	all_RTmeanNoGo_FA	all_RTmedGo_Hit	all_RTmedNoGo_FA	all_z_Hit	all_z_FA	all_z_Hit_mm	all_z_FA_mm	all_z_Hit_ll	all_z_FA_ll	all_d_prime_mm	all_d_prime_ll	all_A_prime_mm	all_A_prime_ll	all_c_mm	all_c_ll	all_Grier_beta_mm	all_Grier_beta_ll	b1_nGo	b1_nNoGo	b1_nAcc	b1_pAcc	b1_nGo_Hit	b1_nGo_Miss	b1_nNoGo_Corr	b1_nNoGo_FA	b1_pGo_Hit	b1_pGo_Miss	b1_pNoGo_Corr	b1_pNoGo_FA	b1_RTmeanGo_Hit	b1_RTmeanNoGo_FA	b1_RTmedGo_Hit	b1_RTmedNoGo_FA	b2_nGo	b2_nNoGo	b2_nAcc	b2_pAcc	b2_nGo_Hit	b2_nGo_Miss	b2_nNoGo_Corr	b2_nNoGo_FA	b2_pGo_Hit	b2_pGo_Miss	b2_pNoGo_Corr	b2_pNoGo_FA	b2_RTmeanGo_Hit	b2_RTmeanNoGo_FA	b2_RTmedGo_Hit	b2_RTmedNoGo_FA	b3_nGo	b3_nNoGo	b3_nAcc	b3_pAcc	b3_nGo_Hit	b3_nGo_Miss	b3_nNoGo_Corr	b3_nNoGo_FA	b3_pGo_Hit	b3_pGo_Miss	b3_pNoGo_Corr	b3_pNoGo_FA	b3_RTmeanGo_Hit	b3_RTmeanNoGo_FA	b3_RTmedGo_Hit	b3_RTmedNoGo_FA	b4_nGo	b4_nNoGo	b4_nAcc	b4_pAcc	b4_nGo_Hit	b4_nGo_Miss	b4_nNoGo_Corr	b4_nNoGo_FA	b4_pGo_Hit	b4_pGo_Miss	b4_pNoGo_Corr	b4_pNoGo_FA	b4_RTmeanGo_Hit	b4_RTmeanNoGo_FA	b4_RTmedGo_Hit	b4_RTmedNoGo_FA	b5_nGo	b5_nNoGo	b5_nAcc	b5_pAcc	b5_nGo_Hit	b5_nGo_Miss	b5_nNoGo_Corr	b5_nNoGo_FA	b5_pGo_Hit	b5_pGo_Miss	b5_pNoGo_Corr	b5_pNoGo_FA	b5_RTmeanGo_Hit	b5_RTmeanNoGo_FA	b5_RTmedGo_Hit	b5_RTmedNoGo_FA
2	150	50	189	0.945	149	1	40	10	0.993	0.007	0.8	0.2	565.141	415.8	557.0	408.5	2.475	-0.842	2.475	-0.842	2.329	-0.821	3.316	3.15	0.948	0.945	0.817	0.754	-0.921	-0.887	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	569.733	439.333	550.5	451.0	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	539.233		535.5		30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	557.655	380.0	551.0	385.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	633.0	483.0	608.5	483.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	525.833	405.667	541.5	399.0
3	150	50	183	0.915	140	10	43	7	0.933	0.067	0.86	0.14	579.971	408.429	566.0	424.0	1.501	-1.08	1.501	-1.08	1.479	-1.049	2.581	2.528	0.943	0.94	0.21	0.215	-0.319	-0.319	30	10	28	0.7	20	10	8	2	0.667	0.333	0.8	0.2	535.05	335.5	550.5	335.5	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	590.767		576.0		30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	596.533		573.0		30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	588.167	551.0	566.0	551.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	574.367	409.25	564.5	456.0
51	150	50	2	0.01	2	148	0	50	0.013	0.987	0.0	1.0	708.0	624.7	708.0	587.0	-2.216	inf	-2.216	inf	-2.131	2.334	-inf	-4.464	0.003	0.007	inf	0.102	-1.0	-0.253	30	10	1	0.025	1	29	0	10	0.033	0.967	0.0	1.0	948.0	633.1	948.0	626.0	30	10	0	0.0	0	30	0	10	0.0	1.0	0.0	1.0		630.9		576.0	30	10	0	0.0	0	30	0	10	0.0	1.0	0.0	1.0		668.6		618.5	30	10	0	0.0	0	30	0	10	0.0	1.0	0.0	1.0		580.0		537.5	30	10	1	0.025	1	29	0	10	0.033	0.967	0.0	1.0	468.0	610.9	468.0	634.5
1	150	50	180	0.9	148	2	32	18	0.987	0.013	0.64	0.36	493.757	382.0	491.0	355.5	2.216	-0.358	2.216	-0.358	2.131	-0.351	2.575	2.482	0.904	0.901	0.929	0.89	-0.892	-0.868	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	502.267	299.0	495.0	299.0	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	480.448	372.2	471.0	300.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	486.345	445.333	486.0	407.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	526.3	372.75	516.0	355.5	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	472.733	397.5	473.0	382.0
4	150	50	171	0.855	143	7	28	22	0.953	0.047	0.56	0.44	557.385	416.455	523.0	460.5	1.678	-0.151	1.678	-0.151	1.648	-0.148	1.829	1.796	0.864	0.862	0.764	0.75	-0.694	-0.679	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	557.286	377.0	533.5	469.0	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	554.897	487.5	529.0	490.0	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	563.138	430.8	526.0	427.0	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	552.25	324.4	530.0	406.0	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	559.172	461.0	501.0	461.0
5	150	50	187	0.935	150	0	37	13	1.0	0.0	0.74	0.26	560.713	362.692	542.5	368.0	inf	-0.643	2.713	-0.643	2.715	-0.629	3.356	3.344	0.934	0.932	1.035	1.043	-0.966	-0.967	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	555.3	210.5	541.0	210.5	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	556.6	285.667	534.5	310.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	529.967	431.333	525.0	458.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	623.067	441.0	630.5	441.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	538.633	425.5	554.5	405.5
6	150	50	182	0.91	147	3	35	15	0.98	0.02	0.7	0.3	548.313	381.333	522.0	398.0	2.054	-0.524	2.054	-0.524	1.992	-0.513	2.578	2.505	0.916	0.914	0.765	0.739	-0.829	-0.807	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	527.2	425.833	506.5	386.5	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	551.533		546.5		30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	528.0	314.0	506.0	303.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	512.759	308.333	483.0	398.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	622.69	432.667	601.0	469.0
7	150	50	180	0.9	150	0	30	20	1.0	0.0	0.6	0.4	533.907	415.15	525.5	445.5	inf	-0.253	2.713	-0.253	2.715	-0.248	2.966	2.964	0.898	0.898	1.23	1.233	-0.973	-0.973	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	492.533	412.5	453.0	397.5	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	551.3	376.833	529.0	457.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	551.033	479.0	535.5	465.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	549.2	422.5	561.5	422.5	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	525.467	428.333	528.5	447.0
9	150	50	157	0.785	138	12	19	31	0.92	0.08	0.38	0.62	437.399	388.548	423.0	385.0	1.405	0.305	1.405	0.305	1.387	0.299	1.1	1.087	0.779	0.778	0.855	0.843	-0.524	-0.513	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	486.69	471.333	474.0	428.0	30	10	32	0.8	28	2	4	6	0.933	0.067	0.4	0.6	424.571	420.833	403.5	422.5	30	10	32	0.8	28	2	4	6	0.933	0.067	0.4	0.6	439.357	330.833	397.5	338.0	30	10	31	0.775	27	3	4	6	0.9	0.1	0.4	0.6	444.704	350.833	408.0	365.5	30	10	29	0.725	26	4	3	7	0.867	0.133	0.3	0.7	386.538	371.714	381.5	394.0
11	150	50	190	0.95	148	2	42	8	0.987	0.013	0.84	0.16	501.365	342.5	501.0	322.0	2.216	-0.994	2.216	-0.994	2.131	-0.967	3.211	3.098	0.955	0.953	0.611	0.582	-0.822	-0.79	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	566.033	431.0	549.0	431.0	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	549.379	316.0	551.0	316.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	455.967	328.0	455.5	328.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	459.867	347.0	465.5	347.0	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	476.345	315.0	482.0	315.0
